Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
N America,USA,Florida,,Grand Cypress GC,Holiday,Public,,2021,,Nicklaus,,,,,Heritage Links,,,,,,,,,Renovate,Open,,Nicklaus,4/13/2021,28.40764,-81.530948,,https://www.grandcypress.com/,,e6FNdobK_eE,thevillasofgrandcypress,GC,,,,,,,Bunkers,,Soil,GT_IRRIGATION/status/1378338071385571332,Grow in superintendent,,,,,,,
N America,USA,Florida,,Heritage Palms Sabal,Once,,,2021,,Gordon Lewis,,,,,,,,,,,,,,Renovate,Open,,Azinger Lewis,7/14/2020,26.590929,-81.823293,,https://www.hpgcc.com/,,IUi9_dlbTQg,heritagepalms,Heritage,,,,,,,,,FL,,,,,,,,,
N America,USA,Florida,,Jacaranda,Holiday,Public,,2021,,Bobby Weed,$10M,,,,,,,,,,,,,Renovate,Open,,,6/8/2021,26.111608,-80.27484,,https://jacarandagolfclub.com/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,,Olde Cypress,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open,,PB Dye,10/27/2021,26.2113877,-81.8274544,,https://www.oldecypress.com/,,,,,,,,,,,,,,naples_matt/status/1443607420224380933,Naples,,,,,,,
N America,USA,Florida,,Olde Florida,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open,,Rees Jones,10/28/2021,26.246859,-81.652075,,https://www.facebook.com/OldeFloridaGolfClub/,,T1nxiaWadso,,,,,,,,,,,Regrassing,,,,,,,,,
N America,USA,Florida,,Palm Aire,Once,,,2021,,Mike Benkusky,,,,,,,,,,,,,,Renovate,Open,,Wilson,12/8/2021,26.223732,-80.159843,,https://www.palmaire.net/,,oOQg-y3kpg4,,,,,,,,,,,FL,,,,,,,,,
N America,USA,Florida,,Pointe West,Once,,,2021,,Sanford,,,,,Total Golf,,,,,,,,,Renovate,Open,,,3/1/2021,27.629188,-80.484071,,https://www.pwccvb.com/,,,,,,,,,,,,,,KDturf/status/1366197047238529029,Bunker,,,,,,,
N America,USA,Florida,,Santa Rosa,Once,,,2021,,Bergin,$3.8M,,,,Medalist,,,,,,,,,Renovate,Open,,,12/26/2021,30.360222,-86.244594,,https://santarosaclub.com/course-renovation/,,piSL5cy41Dk,,,,,,,,,,,Bergin,bergingolf/status/1349103812091518977,Beach,,,,,,,
N America,USA,Florida,,Seven Lakes,Once,,,2021,,Kipp Schulties,$3.4M,,,,Ryan Golf,,,,,,,,,Renovate,Open,,,6/27/2020,26.550611,-81.880791,,https://sevenlakesgolfandtennis.com/page/22119~379629/golf-course-status,,KEq3kgqhCLs,,,,,,,,,,,Opening,,,,,,,,,
N America,USA,Florida,,The Meadows CC,Once,,,2021,,Johnston,$1.2M,,,,,,,,,,,,,Renovate,Open,,,7/15/2020,27.363625,-82.479252,,https://www.meadowscc.org/,,o_mVdu7yn_w,The_Meadows_CC,Meadows,,,,,,,$1.2M,,Rebuild bunkers,,,,,,,,,
N America,USA,Florida,,The Quarry,Once,,,2021,,Hurdzan Fry,,,,,,,,,,,,,,Renovate,Open,,Hurdzan Fry,7/13/2020,26.278644,-81.679401,,https://www.quarrygolfnaples.com/,,pGQKaz2EnDk,thequarrynaples,Quarry,,,,,,,,,Regrassing,,,,,,,,,
N America,USA,Florida,,TPC Treviso Bay,Once,,,2021,,Ryan,$3M,,,,,,,,,,,,,Renovate,Open,,Hills,11/5/2020,26.071772,-81.735728,,https://www.flipsnack.com/tpctrevisobay/member-shared-design-document-november-5-2019.html,,XbW79fI0OPo,tpctrevisobay,Treviso,,,,,,,$3M,,Shaping,HFS_GCA/status/1281935417697341440,Images,,,,,,,
N America,USA,Florida,,Turkey Creek,Once,,,2021,,Palmer,$1.5M,,,,,,,,,,,,,Renovate,Open,,,3/25/2022,29.757867,-82.439518,,https://www.wuft.org/news/2022/02/03/turkey-creek-golf-club-defunct-for-a-decade-is-now-one-of-alachua-countys-only-two-public-courses/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,,TwinEagles Talon,Once,Member,,2021,,Nicklaus Design,,,,,,,,,,,,,,Renovate,Open,,,5/25/2021,26.288312,-81.633192,,https://www.twineagles.com/,,gVsMjhi0mL4,,,,,,,,,,,Club Golf,,,,,,,,,
N America,USA,Florida,,Woodfield CC,Once,Member,,2021,,Kipp Schulties,$7.9M,,,,Heritage Links,,,,,,,,,Renovate,Open ,,,2/9/2021,26.401259,-80.161681,,https://www.woodfield.org/,,,,,,,,,,,,,,SkyCaddieChip/status/1355809579247017986,Images,,,,,,,
N America,USA,Georgia,,Charlie Yates,,Public,,2021,,Medalist,,,,,,,,,,,,,,Renovate,Open,,Rees Jones,11/12/2021,33.7431842,-84.318294,,https://www.charlieyatesgolfcourse.com/news/,,IT75r5djFOI,,,,,,,,,,,Prizm Zoysia,,,,,,,,,
N America,USA,Georgia,,Chattahoochee GC,Holiday,Public,,2021,,Bill Bergin,$2M,,,,,,,,,,,,,Renovate,Open,,RTJ Sr.,9/20/2023,34.3551938,-83.8645519,,https://pacersports.com/news/2023/9/17/mens-golf-pacers-set-for-mizuno-intercollegiate.asp,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Georgia,,Dalton G&CC,Once,,,2021,,Bill Bergin,,,,,,,,,,,,,,Renovate,Open,,,11/4/2020,34.804291,-84.956077,,https://www.daltongcc.org/,,vUWIwsO0RmY,,,,,,,,,,,Bergin #5,bergingolf/status/1322260704251027456,Golf Georgia,,,,,,,
N America,USA,Georgia,,West Pines,Govt.,Public,,2021,,Bill Bergin,,,,,,,,,,,,,,Renovate,Open,,,1/13/2021,33.732166,-84.755925,,https://www.westpinesgc.com/aboutus/scorecard/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Illinois,,Tam O'Shanter,Holiday,Public,,2021,9,Lohmann Quitno,,,,,,,,,,,,,,Renovate,Open,,,6/7/2021,42.0332297,-87.8199068,,http://www.golftam.com/,,,,,,,,,,,,,,LohmannQuitno/status/1401866409563635714,Hole 1,,,,,,,
N America,USA,Indiana,,Harrison Lake,Holiday,Public,,2021,,Tim Liddy,,,,,Wadsworth,,,,,,,,,Renovate,Open,,,12/9/2021,39.1890773,-86.024121,,https://www.harrisonlakeclub.com/,,,,,,,,,,,,,,timliddy/status/1467902978799677454,Bob Haddad,,,,,,,
N America,USA,Indiana,,Long Beach CC,Once,Member,,2021,,Todd Clark,,,,,Servicescape,,,,,,,,,Renovate,Open,,,4/12/2021,41.744877,-86.850905,,https://www.longbeachcc.org/About_Us/History,,,,,,,,,,,,,,ce_golf/status/1380934702962507777,Reopeni,,,,,,,
N America,USA,Iowa,,The Meadows,Once,Member,,2021,,Norby,,,,,,,,,,,,,,Renovate,Open,,,6/25/2021,42.5140342,-90.7983365,,https://norbygolfdesign.com/the-meadows-golf-club,,,,,,,,,,,,,,gcamagazine/status/1408050216406822912,GCA,,,,,,,
N America,USA,Kansas,,Indian Hills CC,Once,,,2021,,Todd Clark,,,,,,,,,,,,,,Renovate,Open,,,11/29/2020,39.004774,-94.629821,,https://www.ihcckc.com/golf,,,cegolfdesign,cegolfdesign,,,,,,,,,,,,,,,,,,
N America,USA,Louisiana,,Mallard GC,Govt.,Public,,2021,,Blume,,,,,,,,,,,,,,Renovate,Open,,,9/9/2021,30.20995,-93.1553051,,https://www.cityoflakecharles.com/department/?fDD=10-0,,,,,,,,,,,,,,JeffBlumeASGCA/status/1403551472823029767,Overhead,,,,,,,
N America,USA,Louisiana,,Tamahka Trails,Govt.,Public,,2021,,Crace,,,,,,,,,,,,,,Renovate,Open,,,11/28/2020,31.106263,-92.078185,,http://tamahkatrails.com/,,,,,,,,,,,,,,lipouts/status/1331718887293988867,Hole 18,,,,,,,
N America,USA,Maryland,,Bethesda CC,Member,,,2021,,Joel Weiman,,,,,MacDonald & Sons,,,,,,,,,Renovate,Open,,,7/5/2022,39.0130556,-77.1553527,,https://www.golfcoursearchitecture.net/content/bethesda-renovation-aims-for-inspired-and-memorable-golf-experience,,,,,,,,,,,,Tanto Irrigation,,,,,,,,,,
N America,USA,Maryland,,Congressional Blue,Member,,100,2021,,Andrew Green,,,,,,,,,,,,,,Renovate,Open,,RTJ,6/10/2021,38.996246,-77.176435,,https://www.ccclub.org/,,2sSosWXHeoI,congressionalcountryclub,Congo,,,,,,,,,Superintendent Peter Wendt,GreenGCA/status/1402935706725629958,LPGA Championship,,,,,,,
N America,USA,Maryland,,Eisenhower,Govt.,Public,,2021,,Andrew Green,$5M,,,,Wadsworth,,,,,,,,1969,Renovate,Open,,Ault,9/2/2021,39.014877,-76.587132,,https://www.eisenhowergolf.com/,,IRKrJHvlB8g,,,,,220,,,,Preserve,,Green,,,,,,,,,
N America,USA,Maryland,,Green Spring Valley,Member,,,2021,,Tyler Rae,,,,,,,,,,,,,,Renovate,Open,,RTJ,8/1/2023,39.404599,-76.755828,,https://www.gsvhc.com/history,,,,,,,,,,,,,,TylerRaeDesign/status/1686359455888273408,GCSAA,,,,,,,
N America,USA,Massachusetts,,Country Club of Pittsfield,Once,Member,,2021,,Bruce Hepner,,,,,,,,,,,,,,Renovate,Open,,,11/14/2023,42.4266335,-73.2615149,,https://www.berkshireeagle.com/archives/timeless-beauty-at-country-club-of-pittsfield-getting-a-facelift-as-golf-course-looks-to/article_02b24a0c-236e-5132-812a-f757a54a73a9.html,,CVij8pWWzsQ,,,,,,,,,,,Design Meeting,,,,,,,,,
N America,USA,Michigan,,Bloomfield Hills ,Member,,,2021,,DeVries Pont ,,,,,LaBar,,,,,,,,,Renovate,Open,,Colt,5/31/2021,42.58291,-83.254828,,https://www.bloomfieldhillscc.org/,,,,,,,,,,,LaBar,,,cdpgolf1/status/1399094165275824130,Open,,,,,,,
N America,USA,Michigan,,Blythefield CC,Once,,,2021,,Chris Wilczynski,,,,,MacCurrach,,,,,,,,,Renovate,Open,,Langford Moreau,11/28/2020,43.066087,-85.583413,,https://www.blythefieldcc.org/,,F7MdWgHztz0,,,,,,,,,,,20-Jul,gcamagazine/status/1328275011107340288,GCA,,,,,,,
N America,USA,Michigan,,Oakland Hills South,Member,,100,2021,,Gil Hanse ,$12M,,,,,,,,,,,,,Renovate,Open,,Ross RTJ ,7/20/2021,42.5439,-83.279876,,https://www.oaklandhillscc.com/,,h_ygielCaKU,,,,,,,,,,,Steve Brady,gcamagazine/status/1408355692956762116,GCA,,,,,,,
N America,USA,Michigan,,Pine River,Once,Member,,2021,,Chris Wilczynski,,,,,Great Lakes,,,,,,,,1929,Renovate,Open,,,9/7/2021,43.379511,-84.686489,,https://www.pinerivercc.net,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Michigan,,Plum Hollow CC,Once,,,2021,,Rogers,,,,,MacCurrach ,,,,,,,,,Renovate,Open,,Alison Colt,8/18/2021,42.451332,-83.264765,,https://www.plumhollowcc.com/,,VY8PjwOzHwI,plumhollowcc,Plum,,,,,,,,,History,,,,,,,,,
N America,USA,Michigan,,Red Run,Once,Member,,2021,,Bruce Hepner,,,,,,,,,,,,,,Renovate,Open,,Bendelow Park Jr.,8/18/2021,42.5067803,-83.1449178,,https://www.redrungolfclub.com/golf,,tU_3EmkzijM,,,,,,,,,,,Restoration Plan,,,,,,,,,
N America,USA,Minnesota,,Midland Hills,Once,,,2021,,Jim Urbina,$2M,,,,,,,,,,,,,Renovate,Open,,Raynor,10/29/2021,45.001319,-93.196865,,http://www.midlandhillscc.org/,,,,,,,,,,,,,,Golf_Crazed/status/1292901144977723394,Number 1,,,,,,,
N America,USA,Mississippi,,Refuge,Govt.,Public,,2021,,Crace,$1.9M,,,,Eagle Golf,,,,,,,,,Renovate,Open,,Case ,5/1/2021,32.315922,-90.097756,,http://www.refugegolf.com/,,,,,,,,,,,,,,apocalypse422/status/976158552581660673,Plan,,,,,,,
N America,USA,Missouri,Camdenton,Lake Valley,Holiday,Public,,2021,,Todd Clark,,,,,Mammoth Sports,,,,Better Billy,Premier Sand Arkansas,,,,Renovate,Open,,,3/3/2021,37.987775,-92.802079,,http://www.lakevalleygolf.com/,,,,,,,,,,,Bunkers,,,,,,,,,,,
N America,USA,Missouri,,Legends CC,Once,Member,,2021,,Schaupeter,$1.4M,,,,,,,,,,,,,Renovate,Open,,RTJ,4/25/2021,38.497542,-90.653137,,https://www.thelegendsgolf.com/,,,,,,,,,,,,,,GCImagazine/status/1386311533764898827,Update,,,,,,,
N America,USA,Missouri,,Meadowbrook CC,Once,,,2021,,Hargrave,,,,,,,,,,,,,,Renovate,Ongoing,,,9/26/2020,38.616258,-90.567921,,https://www.meabrk.org/,,QGeTJzmsGcw,,,,,,,,,Bunkers,,Front 9,,,,,,,,,
N America,USA,New Jersey,,Hollywood,Once,Member,,2021,,Brian Schneider,,,,,LaBar,,,,,,,,1918,Renovate,Open,,Travis,4/16/2021,40.250788,-74.022091,,https://www.hollywoodgolfclub.org/club/scripts/custom/custom.asp?NS=GP&PAGECFG=COURSETOUR,,,,,7040,,,,,,,,,,,,,,,,,
N America,USA,New Jersey,,Laurel Creek CC,Once,Member,,2021,,Andrew Green,,,,,,,,,,,,,,Masterplan,Open,,,11/12/2023,39.9928036,-74.8878356,,https://laurelcreeksuper.blogspot.com/2022/08/construction-update.html,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New Jersey,,Montclair,Once,,,2021,,McDonald Schneider,,,,,,,,,,,,,,Renovate,Open,,Ross Banks,11/28/2020,40.817945,-74.242732,,https://www.montclairgolfclub.org/,,,montclairgolfclub,Montclair,,,,,,,3rd nine,,,GreenMontclair/status/1330237279567294465, Nov 2020,,,,,,,
N America,USA,New Jersey,,Pinelands,Holiday,Public,,2021,,Kay,,,,,George Ley,,,,,,,,,Renovate,Open,,,8/1/2023,39.6294952,-74.8686928,,https://atlanticcityweekly.com/arts_and_entertainment/pinelands-golf-club-becoming-a-big-player-in-south-jersey/article_b7fce53a-e8a5-11eb-b1c3-5f759c0bf817.html,,,,,,,,,,,TriCure AD,,,,,,,,,,,
N America,USA,New Jersey,,The Shore,Once,Member,,2021,20,Tyler Rae,,,,,,,,,,,,,,Renovate,Open,,Stiles,3/9/2021,39.053555,-74.841245,,https://www.myshoreclub.com/courseinfo,,,tsc_greens,TSC,,,110,,,,,,,,,,,,,,,
N America,USA,New Jersey,,Stone Harbor,Once,Member,,2021,,Tyler Rae,,,,,,,,,,,,,,Renovate,Open,,Muirhead,7/8/2023,39.1059738,-74.8781151,,https://www.stoneharborgolf.com/Default.aspx?p=dynamicmodule&pageid=170&ssid=100178&vnf=1,,,,,,,,,,,Heritage Golf Group Acquisition June 2023,,,,,,,,,,,
N America,USA,New York,,Nassau CC,Once,Member,,2021,,Fazio Marzolf,,,,,,,,,,,,,,Renovate,Open,,,10/17/2021,40.869775,-73.618518,,https://www.nassaucc.com/index.cfm,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New York,,Summit Armonk,Once,,,2021,,Rees Jones,,,,,,,,,,,,,,Renovate,Open,,,8/13/2021,41.009398,-73.745741,,https://thesummitclub.net/,,,,,,,,,,,Brynwood,,,Golfdom/status/1420851663238270983,Open,,,,,,,
N America,USA,New York,,Manhattan Woods,Once,Member,,2021,,Kovich,,,,,,,,,,,,,,Renovate,Open,,,12/28/2020,41.069599,-73.989432,,https://mwgolf.club/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,North Carolina,,Highlands Falls ,Once,,,2021,,Bill Bergin,,,,,,,,,,,,,,Renovate,Open,,Lee ,2/5/2021,35.070768,-83.186975,,https://www.clubhfcc.com/,,fLg-fR34Bf8,,,,,,,,,,,Highlands NC,bergingolf/status/1357474110595624960,Par 4,,,,,,,
N America,USA,North Carolina,,Highlands CC,Once,Member,,2021,,Forse,,,,,,,,,,,,,,Masterplan,Open,,Ross,5/23/2021,35.052845,-83.219518,,https://www.highlandscountryclub.com/golf,,,,,,,,,,,,,,hccsuper/status/1232484096879648770,Stiehler,,,,,,,
N America,USA,North Carolina,,Trump Charlotte,Once,Member,,2021,,-,,,,,Labar,,,,,,,,,Renovate,Open,,,10/31/2022,35.5327605,-80.9207229,,https://www.facebook.com/TrumpCharlotte/,,,labargolfrenovations,Bunkers,,,,,,,,,,,,,,,,,,
N America,USA,Ohio,,Coldstream,Once,Member,,2021,,Keith Foster,,,,,,,,,,,,,,Renovate,Open,,Wilson,11/1/2022,39.049169,-84.3505,,https://www.coldstreamcc.com/,,,,,,,,,,,,,,feedtheball/status/1591210562360266752,Derek Duncan,,,,,,,
N America,USA,Ohio,,Columbus CC,Once,,,2021,,Hargrave,,,,,,,,,,,,,,Renovate,Open,,Ross,9/29/2020,39.973175,-82.86862,,https://www.columbuscc.com/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Ohio,,Kenwood CC Kendale,Once,,,2021,,Straka Fry,$5M,,,,Wadsworth,,,,,,,,1930,Renovate,Open,,Diddle,11/28/2020,39.183552,-84.388511,,https://www.kenwoodcc.com/,,Vwb6_iX9_NQ,kenwoodcc,Kenwood,,,170,,,,,,June,,,,,,,,,
N America,USA,Ohio,,Muirfield Village ,Member,,100,2021,,Nicklaus Design,,,,,LaBar,,,,,,,,,Renovate,Open,,,6/5/2021,40.140485,-83.143112,,https://caddies.pgatourhq.com/static-assets/uploads/muirfield-course-renovation-update-2020.pdf,,UGdEegxu8e4,muirfieldvillagegolfclub,MV,,,,,,,,,GOLF,jacknicklaus/status/1289643218586353664,Onsite,,,,,,,
N America,USA,Pennsylvania,,Llanerch,Once,,,2021,,Brian Schneider,,,Blake Conant,,Total Turf,,,,,,,,,Renovate,Open,,Findlay,9/22/2020,39.969899,-75.316354,,https://www.llanerchcc.org,,,llanerchcc,Llanerch,,,,,,,,,,castaldi_tom/status/1331967398950432770,Philly Golf,,,,,,,
N America,USA,Pennsylvania,,Philadelpha CC Cen.,Member,,,2021,,Forse Nagle,,,,,Mottin,,,,,,,,,Renovate,Open,,Flynn,9/23/2020,40.062326,-75.294328,,https://www.philadelphiacc.net/,,gy-gmw6ekS0,,,,,,,,,Mottin,,Hole 4 2018,,,,,,,,,
N America,USA,Pennsylvania,,Waynesborough,Once,Member,,2021,,Andrew Green,,,,,,,,,,,,,1965,Renovate,Open,,G Fazio,12/19/2022,40.026873,-75.4675964,,https://www.wcc1965.org/golf,,,,,,,,,,,,,,TurfBergers/status/1520134254981701633,Front 9,,,,,,,
N America,USA,Pennsylvania,,McCall GC,Once,Member,,2021,,Forse Nagle,,,,,,,,,,,,,,Renovate,Open,,Ross Flynn,4/28/2021,39.976851,-75.316539,,https://static1.squarespace.com/static/5cb77ff54d8711d2a79f2eeb/t/5fdcc94f57b8971cd7a87c63/1608304976601/December+2020.pdf,,fEh_agPaZ5Y,,,5000,,,,,,,,Timeline,wvugolfarchie/status/1387063500787363841,Nagle,,,,,,,
N America,USA,South Carolina,,Briar’s Creek,Once,,,2021,,Rees Jones,$6.5M,,,,,,,,,,,,,Renovate,Open,,,1/28/2021,32.766279,-80.168921,,http://www.briarscreek.com/,,,,,,,,,,,,,,GOLFRealtyBUZZ/status/1352393773804908544,Strategic golf,,,,,,,
N America,USA,South Carolina,,Greer,Once,,,2021,,Lawrence,,,,,,,,,,,,,,Renovate,Open,,,1/31/2021,34.282158,-82.582872,,https://www.greergolf.com/gallery,,s8OI0zcYPzA,greergolfcourse,Greer,,,,,,,,,Tahoma 31,,,,,,,,,
N America,USA,South Carolina,,Seabrook Ocean Winds,Once,,,2021,,Swanson Jones,,,,,,,,,,,,,,Renovate,Open,,Byrd,11/15/2021,32.566428,-80.18083,,https://www.seabrookisland.com/golf/ocean-winds/,,rLe7DMnxI9U,,,,,,,,,,,Bryce Swanson,,,,,,,,,
N America,USA,South Carolina,,Sea Pines,Once,Public,,2021,,Smith,,,,,MacCurrach,http://www.maccurrachgolf.com/,,,Capillary Concrete,,TifEagle,,,Renovate,Open,,Palmer,9/29/2021,32.155769,-80.778329,,https://www.golfcourseindustry.com/article/sea-pines-country-club-golf-course-enhancements/,,,,,,,,,,,,,,maccurrachgolf/status/1443259853196210178,TifEagle Greens,,,,,,,
N America,USA,South Carolina,,Patriot Grand Harbor,Once,Member,,2021,,Sherman Love,,,,,,,,,,,,,,Renovate,Open,,,8/1/2022,34.206727,-81.971309,,https://grandharbor.net/,,qoGN8u0fxGE,scotsherman,Sherman,,,,,,,,,2016,Love3GolfDesign/status/1357079058128003075,Bunker liner,,,,,,,
N America,USA,South Carolina,Myrtle Beach,Pine Lakes,Holiday,Public,,2021,,Todd Schreiner,,,,,,,,,,,Sunday Bermudagrass,,1927,Renovate,Open,,White,12/23/2021,33.734829,-78.853925,,https://www.golfcourseindustry.com/article/pine-lakes-sunday-bermudagrass-restoration/,,,,,,,,,,,Open July 22,,,,,,,Founders Group International President Steve Mays,,,,
N America,USA,South Carolina,,Ware Shoals,Govt.,Public,,2021,,Scot Sherman,,,,,,,,,,,,,,Renovate,Open,,,3/2/2021,34.44305,-82.662096,,https://www.instagram.com/p/CLsMBgnlFhM/,,,scotsherman,Sherman,,,,,,,9 holes,,,,,,,,,,,
N America,USA,South Dakota,Aberdeen,Lee Park,Govt.,Public,,2021,,Norby,,,,,,,,,,,,,,Renovate,Open,,,3/5/2021,45.47766,-100.746412,,https://www.aberdeen.sd.us/DocumentCenter/View/8005/LPGC-Renovate-Plans,,,,,,,,,,,,,,golfnorby/status/1367709601412571136,14th hole,,,,,,,
N America,USA,Tennessee,,Cherokee CC,Once,,,2021,,Tyler Rae,,,,,,,,,,,,,,Renovate,Open,,,1/27/2021,35.933346,-83.989306,,https://www.cherokeecountryclub.com/,,,,,,,,,,,,,,TylerRaeDesign/status/1354178392598458368,88 Acres,,,,,,,
N America,USA,Texas,,Hills of Lakeway,Once,Member,,2021,,Nicklaus,,,,,,,,,,,,,,Renovate,Open,,,12/7/2021,30.347242,-97.989403,,https://www.clubcorp.com/Clubs/The-Hills-of-Lakeway,,MX3g2HPBJvc,hillsoflakewaycc,Real estate golf,,,,,,,,,Opening tee shot,GOLFRealtyBUZZ/status/1334606906174926848,Golf Realty,,,,,,,
N America,USA,Texas,,Olmos Basin,Govt.,Public,,2021,,Blume,$4M,,,,Wadsworth,,,,,,,,1963,Renovate,Open,,,12/26/2021,29.495717,-98.490562,,https://www.alamocitygolftrail.com/olmos-basin-improvements/,,,,,,,,,,,McKush,,,AlamoCityGolf/status/1407693686008385538,Hole 12,,,Greg McKush,,,,
N America,USA,Washington,,Wing Point,Once,,,2021,,Jeff Mingay,,,,,,,,,,,,,,Renovate,Open,,,9/22/2020,47.631541,-122.640671,,https://www.wingpointgolf.com/,,un17EIBuubQ,,,,,,,,,Bainbridge,,2016 Mingay,,,,,,,,,
N America,USA,Wisconsin,,Pine Hills CC,Once,,,2021,,Rogers,,,,,,,,,,,,,,Renovate,Open,,Langford,4/21/2022,43.76653,-87.774341,,https://www.pinehillscc.com/golf/course-improvement-blog-204.html,,,,,,,,,,,,,,BryanTweed16/status/1240679027716886529,Golf Course Photographer,,,,,,,
N America,USA,Wyoming,,Teton Pines,Once,Member,,2021,,Hochstein Layton,,,,,,,,,,,,,,Renovate,Open,,Palmer,6/14/2022,43.528607,-110.880638,,https://www.tetonpines.com/golf,,,,,,,,,,,,,,,,,,,,,,
Africa,South Africa,Pretoria,,Blair Atholl,Holiday,Public,,2021,,Ingadi,,,,,,,,,,,,,,Renovate,Open,,Player,4/26/2021,-25.908564,27.631332,,http://www.blairatholl.co.za/pages/golf-course.html,,BNhf_rYDktQ,,,,,,,,,,,Golf Hotel,,,,,,,,,
Asia,China,Hong Kong,,Discovery Bay Ruby,Holiday,,,2021,,Swanson,,,,,,,,,,,,,,Renovate,Open,,RTJ,11/24/2020,22.2875,114.003084,,https://www.facebook.com/Swanson-Golf-Design-230333973676721/photos/pcb.3548466815196737/3548466011863484,,,,,,,,,,,,,,,,,,,,,,
Asia,China,Zhejiang,,Westlake,Once,Member,,2021,,Nicklaus Design,,,,,,,,,,,,,,Renovate,Open,,Nicklaus,9/30/2023,30.1732797,120.0678437,,https://golf.com/travel/asian-games-renovated-nicklaus-course-westlake/,,,,,,,,,,,,,,,,,,,,,,
Asia,India,Bangalore,,East Point,Once,Member,,2021,,,,,,,,,,,,,,,,Renovate,Open,,,3/22/2021,17.763562,83.299388,,http://epgc.in/aboutHistory.aspx,,,,,,,,,,,,,,,,,,,,,,
Asia,Saudi,Riyadh,,Dirab G&CC,Holiday,Member,,2021,,,,,,,,,,,,,,,,Renovate,Open,,,11/22/2021,24.4340201,46.488553,,https://dirabgolf.com/golf-course/,,,,,,,,,,,Majed Al-Sorour,,,,,,,,,,,
Asia,Singapore,Singapore,,Singapore Island CC,Once,Member,,2021,,Graham Marsh,,,,,,,,,,,,,,Renovate,Open,,Pennick Thompson,7/30/2021,1.342997,103.811229,,https://gis.sicc.org.sg/?page_id=7709,,1jvzauJKyH4,,,,,,,,,27 holes,,Club Video,gcamagazine/status/1326526576289263616,Urban Country Club,,,,,,,
AU/NZ,Australia,NSW,,Hurstville GC,Holiday,Member,,2021,,TBA,$1.1M,,,,,,,,,,,,,Renovate,Open,,,12/4/2020,-33.981212,151.018851,,https://hurstvillegolf.com.au/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,Australia,NSW,,Palm Beach GC,Holiday,Public,,2021,9,Parry,$0.7M,,,,,,,,,,,,,Renovate,Open,,,6/30/2021,-33.5922437,151.319526,,https://www.palmbeachgolf.com.au/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,Australia,NSW,,Pymble,Holiday,Public,,2021,,Wilcher,,,,,,,,,,,,,,Renovate,Open,,,12/28/2021,-33.7307466,151.1532443,,https://www.pymblegolf.com.au,,,,,,,,,,,Golf by Design,,,AdrianLogue/status/1474332954381852678,Hole 11,,,,,,,
AU/NZ,Australia,NSW,,Wakehurst,Holiday,Member,,2021,,Brown Parry,,,,,,,,,,,,,,Renovate,Open,,,11/7/2021,-33.7802544,151.2438049,,https://wakehurstgolf.com.au/,,,wakehurstgolfclub,Club,,,,,,,,,,AdrianBoyleGolf/status/1456421398671462405,4 Greens,,,,,,,
AU/NZ,Australia,Perth,,Fremantle GC,Holiday,Member,,2021,,Chamberlain,,,,,,,,,,,,,,Renovate,Open,,,1/7/2021,-32.103235,115.458105,,https://freoview.wordpress.com/2019/12/20/new-freo-public-golf-course-plans/,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,NZ,North Island,,Riverside Lochiel,Holiday,Member,,2021,,RBT Tataurangi,$7M,,,,,,,,,,,,,Renovate,Open,,,3/7/2021,-37.841302,175.347049,,https://www.riversidegolf.co.nz,,,,,,,,,,,,,,,,,,,,,,
AU/NZ,NZ,North Island,Auckland,Omaha Beach,Holiday,Member,,2021,,Kura Kerr,,,,,,,,,,,,,,Renovate,Open,,,4/22/2021,-36.332261,174.632966,,https://www.omahagolf.co.nz/golf-course/hole-15/,,XuQ3M7r0ryU,,,,,,,,,,,Hole 15,,,,,,,,,
Europe,Austria,Vienna,,Fontana,Holiday,Member,,2021,,Doug Carrick,,,,,,,,,,,,,,Renovate,Open,,,7/27/2021,47.977462,16.31175,,https://fontana.at/,,Gb_VPMKWMCo,,,,,,,,,,,Topiary,,,,,,,,,
